,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
1,b'create procedure confirmation',b'create subcases completeness',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'register submission date request',b'start WABOprocedure',b'phase application received',b'send confirmation receipt',b'registration date publication',b'enter senddate acknowledgement',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'procedure change',b'retrieve missing data',b'phase asked additional information',b'enter senddate retrieve missing data',b'receive additional information',b'enter receipt of additional data',b'phase additional information received',b'MER present in supplement',b'send confirmation receipt additional data',b'procedure change after completeness',b'send letter in progress',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'request complete',b'enter senddate decision',b'phase decision taken',b'phase advice known',b'phase decision sent',b'assessment of content completed',b'generating decision environmental permit',b'creating environmental permit decision',b'completed subcases content',b'treat subcases content',b'transcript decision environmental permit to stakeholders',b'set decision status',b'enter senddate decision environmental permit',b'phase decision ready',b'phase application receptive',b'start decision phase decision permitting sent',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
3,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'create subcases completeness',b'create publication document',b'start WABOprocedure',b'send confirmation receipt',b'registration date publication',b'phase application received',b'enter senddate acknowledgement',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'procedure change',b'phase asked additional information',b'retrieve missing data',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'send confirmation receipt additional data',b'MER present in supplement',b'receive additional information',b'phase additional information received',b'procedure change after completeness',b'send letter in progress',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'request complete',b'completed subcases content',b'phase application receptive',b'phase advice known',b'creating environmental permit decision',b'assessment of content completed',b'treat subcases content',b'set decision status',b'generating decision environmental permit',b'phase decision ready',b'register objection and appeal periods',b'creating cover letter decision',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'phase decision sent',b'create monitoring case',b'phase decision taken',b'enter senddate decision',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
7,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'create publication document',b'phase application received',b'send confirmation receipt',b'registration date publication',b'start WABOprocedure',b'enter senddate acknowledgement',b'procedure change',b'create subcases completeness',b'start WABOprocedure',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'start decision phase decision permitting sent',b'send letter in progress',b'procedure change',b'create procedure confirmation',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'request complete',b'phase advice known',b'set decision status',b'assessment of content completed',b'phase application receptive',b'treat subcases content',b'completed subcases content',b'creating environmental permit decision',b'start WABOprocedure',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision environmental permit',b'create monitoring case',b'enter senddate decision',b'phase decision taken',b'transcript decision environmental permit to stakeholders',b'generating decision environmental permit',b'phase decision sent',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
10,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'send confirmation receipt',b'start WABOprocedure',b'registration date publication',b'phase application received',b'enter senddate acknowledgement',b'term for supplying missing data',b'create letter requesting missing data',b'request complete',b'phase asked additional information',b'retrieve missing data',b'enter senddate retrieve missing data',b'keep permanently suspended',b'decision date prior to decision',b'create cover letter permanent suspension',b'receive additional information',b'enter senddate decision permanent suspension',b'start decision phase permanently suspended decided',b'creating decision permanently suspended',b'set decision status',b'phase permanently suspended',b'start decision phase permanent suspension sent',b'decision keep permanently suspended',b'enter date decision permanent suspension',b'enter senddate decision permanent suspension',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
17,b'date for inspection MER',b'register submission date request',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'MER required',b'MER present',b'activities regular procedure',b'phased application',b'phase application received',b'send confirmation receipt',b'start WABOprocedure',b'read field phased application',b'registration date publication',b'enter senddate acknowledgement',b'term for supplying missing data',b'create letter requesting missing data',b'request complete',b'retrieve missing data',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
22,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'phase application received',b'start WABOprocedure',b'registration date publication',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'request complete',b'phase advice known',b'phase application receptive',b'generating decision environmental permit',b'enter senddate decision',b'creating environmental permit decision',b'phase decision ready',b'transcript decision environmental permit to stakeholders',b'phase decision taken',b'set decision status',b'phase decision sent',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'register deadline',b'set phase: phase permitting irrevocable',b'objection lodged against decision',b'read publication date field',b'phase archived case',b'stop all running subcases 2b',b'phase case handled',b'phase decision irrevocable',b'close case',b'read publication date field',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
25,b'register submission date request',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'registration date publication',b'start WABOprocedure',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'procedure change',b'creating environmental permit decision',b'generating decision environmental permit',b'phase decision ready',b'phase application receptive',b'set decision status',b'phase advice known',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'enter senddate decision environmental permit',b'phase decision taken',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'record date of decision environmental permit',b'objection lodged against decision',b'read publication date field',b'phase decision irrevocable',b'read publication date field',b'stop all running subcases 2b',b'set phase: phase permitting irrevocable',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
26,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'create publication document',b'send confirmation receipt',b'registration date publication',b'start WABOprocedure',b'phase application received',b'enter senddate acknowledgement',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'procedure change',b'retrieve missing data',b'phase asked additional information',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'article 34  WABO applies',b'send confirmation receipt additional data',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'phase additional information received',b'phase application receptive',b'phase advice known',b'creating environmental permit decision',b'treat subcases content',b'set decision status',b'completed subcases content',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'generating decision environmental permit',b'start decision phase decision permitting sent',b'phase decision sent',b'set decision phase decision permitting decided',b'enter senddate decision',b'phase decision ready',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'phase decision taken',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
28,b'register submission date request',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'registration date publication',b'phase application received',b'start WABOprocedure',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'register objection and appeal periods',b'creating cover letter decision',b'procedure change',b'phase decision taken',b'phase application receptive',b'phase advice known',b'generating decision environmental permit',b'creating environmental permit decision',b'set decision status',b'register date environmental permit decision',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'register deadline',b'set phase: phase permitting irrevocable',b'objection lodged against decision',b'enter date publication decision environmental permit',b'enter senddate decision',b'read publication date field',b'phase decision sent',b'stop all running subcases 2b',b'enter senddate decision environmental permit',b'phase archived case',b'transcript decision environmental permit to stakeholders',b'read publication date field',b'phase decision irrevocable',b'phase case handled',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
34,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'registration date publication',b'phase application received',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'request complete',b'phase application receptive',b'phase decision ready',b'generating decision environmental permit',b'set decision status',b'creating environmental permit decision',b'phase advice known',b'register objection and appeal periods',b'creating cover letter decision',b'create publication document',b'enter senddate decision',b'enter date publication decision environmental permit',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'phase decision sent',b'phase decision taken',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'set decision phase decision permitting published',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
